Topic,Statement,Link,Date
HPCL: Strong bullish breakout seen above Rs 230-235 levels; 89-SMA suggests buying opportunity,We recommend buying Hindustan Petroleum Corporation around Rs 240 with a stop loss of Rs 205.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/hpcl-strong-bullish-breakout-seen-above-rs-230-235-levels-89-sma-suggests-buying-opportunity-6582851.html,February 27^ 2021 05:23 PM IST
As India eyes a greener tomorrow^ here are stocks that may benefit,These carmakers^ battery makers and infrastructure providers hold key to a greener tomorrow,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/as-india-eyes-a-greener-tomorrow-here-are-stocks-that-may-benefit-6581201.html,February 27^ 2021 01:04 PM IST
Top 3 key elements to look out for while deciding to subscribe to an IPO,The IPO process allows retail investors^ HNI investors^ and institutions to invest in shares of the company and benefit from the ownership as the value of the company increases.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/top-3-key-elements-to-look-out-for-while-deciding-to-subscribe-to-an-ipo-6577761.html,February 27^ 2021 10:02 AM IST
Broader market outperforms in a sombre week; 78 smallcap stocks rose 10-70%,If the Nifty falls to 14300-14350 without meaningful bounce^ then it would be a buying opportunity for short-term/medium-term traders/investors^ suggest experts.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/broader-market-outperforms-in-a-sombre-week-78-smallcap-stocks-rose-10-70-6581611.html,February 27^ 2021 09:30 AM IST
Gainers & Losers: Top 10 stocks that moved the most on February 26,Mid and small-caps came off better than their larger peers. The BSE midcap and smallcap indices ended 1.75 percent and 0.74 percent lower^ while benchmarks Sensex and Nifty tanked 4 percent each.,www.moneycontrol.comhttps://www.moneycontrol.com/news/photos/business/stocks/gainers-losers-top-10-stocks-that-moved-the-most-on-february-26-6579261.html,February 26^ 2021 05:11 PM IST
The Market Podcast | Private sector banks likely to get rerated post FM announcement: Gaurav Garg of CapitalVia Global Research,The largest players in the private lending space such as ICICI Bank^ HDFC Bank^ and Kotak Mahindra Bank are going to get benefitted as they have a large retail client base^ says Garg.,www.moneycontrol.comhttps://www.moneycontrol.com/news/podcast/the-market-podcast-private-sector-banks-likely-to-get-rerated-post-fm-announcement-gaurav-garg-of-capitalvia-global-research-6576191.html,February 26^ 2021 05:04 PM IST
Analysts upgraded these 16 stocks in February to 'buy' for 10%-29% upside,The outlook for many sectors has improved following various steps^ including Budget proposals^ announced to revive and accelerate economic growth,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/analysts-upgraded-these-16-stocks-in-february-to-buy-for-10-29-upside-6577691.html,February 26^ 2021 03:35 PM IST
Nava Bharat Ventures share price jumps 4% on board nod to buyback plan,The Board of Directors approved a proposal for buyback fully paid-up equity shares of face value of Rs 2 each for an amount not exceeding Rs 150 crore.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/nava-bharat-ventures-share-price-jumps-4-on-board-nod-to-buyback-plan-6578661.html,February 26^ 2021 02:39 PM IST
Eveready Industries shares jump 20%^ hit 52-week high,Owing to the default of payments^ lenders of Eveready Industries have sold pledged shares in the last two years^ dragging the shareholding of the Khaitan family to 4.5 percent from 44.1 percent.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/eveready-industries-shares-jump-20-hit-52-week-high-6577831.html,February 26^ 2021 01:49 PM IST
Buy Mahindra CIE Automotive; target of Rs 220: ICICI Direct,ICICI Direct is bullish on Mahindra CIE Automotive recommended buy rating on the stock with a target price of Rs 220 in its research report dated February 23^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-mahindra-cie-automotive-target-of-rs-220-icici-direct-6577821.html,February 26^ 2021 01:02 PM IST
Buy Sanofi India; target of Rs 9820: ICICI Direct,ICICI Direct is bullish on Sanofi India recommended buy rating on the stock with a target price of Rs 9820 in its research report dated February 24^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-sanofi-india-target-of-rs-9820-icici-direct-2-6577641.html,February 26^ 2021 01:02 PM IST
Hold Sundaram Finance; target of Rs 2450: ICICI Direct,ICICI Direct recommended hold rating on Sundaram Finance with a target price of Rs 2450 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/hold-sundaram-finance-target-of-rs-2450-icici-direct-6577631.html,February 26^ 2021 01:02 PM IST
Buy Max Financial Services: target of Rs 1100: Sharekhan,Sharekhan is bullish on Max Financial Services has recommended buy rating on the stock with a target price of Rs 1100 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-max-financial-services-target-of-rs-1100-sharekhan-6577621.html,February 26^ 2021 01:02 PM IST
Buy Tata Consumer Products: target of Rs 740: Sharekhan,Sharekhan is bullish on Tata Consumer Products has recommended buy rating on the stock with a target price of Rs 740 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-tata-consumer-products-target-of-rs-740-sharekhan-6577611.html,February 26^ 2021 01:01 PM IST
Buy Britannia Industries: target of Rs 4200: Sharekhan,Sharekhan is bullish on Britannia Industries has recommended buy rating on the stock with a target price of Rs 4200 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-britannia-industries-target-of-rs-4200-sharekhan-5-6577601.html,February 26^ 2021 01:01 PM IST
Buy NTPC; target of Rs 141: Motilal Oswal,Motilal Oswal is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 141 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-ntpc-target-of-rs-141-motilal-oswal-6577581.html,February 26^ 2021 01:01 PM IST
Buy KNR Constructions; target of Rs 259: Geojit,Geojit is bullish on KNR Constructions has recommended buy rating on the stock with a target price of Rs 259 in its research report dated February 25^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-knr-constructions-target-of-rs-259-geojit-6577501.html,February 26^ 2021 01:00 PM IST
DHFL share price hits 5% upper circuit on filing resolution application with NCLT,DHFL received no objection from the Reserve Bank of India and filed an application with NCLT for submission of the resolution plan of Piramal Capital & Housing Finance.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/dhfl-share-price-hits-5-upper-circuit-on-filing-resolution-application-with-nclt-6577491.html,February 26^ 2021 11:35 AM IST
Dilip Buildcon share price hits new 52-week high on bagging orders worth Rs 2^241 crore,The company has been declared as L-1 bidder for two National Highways Authority of India HAM projects under Bharatmala Pariyojana^ Phase I in the state of Tamil Nadu and Union Territory of Puducherry of orders worth Rs 2241 crore,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/dilip-buildcon-share-price-hits-new-52-week-high-on-bagging-orders-worth-rs-2241-crore-6576211.html,February 26^ 2021 10:28 AM IST
PSU banks under pressure: Bank of Baroda^ Union Bank shed 3-4% each; CLSA retains buy on SBI,CLSA has retained its bull call on SBI and has raised target to Rs 600 from Rs 540 per share. It is of the view that the weak corporate credit cycle is at its end adding that credit costs are normalising.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/psu-banks-under-pressure-bank-of-baroda-union-bank-shed-3-4-each-clsa-retains-buy-on-sbi-6576061.html,February 26^ 2021 10:19 AM IST
COVID-19 remains a key trigger for pharma space^ analysts pick these 15 stocks for medium term,The government's decision to expand the production-linked incentive to the pharma sector will help players who have a strong manufacturing base^ say experts.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/covid-19-remains-a-key-trigger-for-pharma-space-analysts-pick-these-15-stocks-for-medium-term-6575171.html,February 26^ 2021 09:59 AM IST
Is the current consolidation the right opportunity to go long on Persistent?,The current consolidation phase is an opportunity for long-term investors to gradually accumulate Persistent,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/moneycontrol-research/is-the-current-consolidation-the-right-opportunity-to-go-long-on-persistent-6575971.html,February 26^ 2021 09:44 AM IST
Agri Picks Report: Geojit,According to Geojit^ Procurement of tur by National Agricultural Cooperative Marketing Federation of India has slowed down in four states because prices in spot markets are above the minimum support price^ a government official said.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/agri-picks-report-geojit-173-6576041.html,February 26^ 2021 09:39 AM IST
Weekly Tactical Pick | Mindtree,Mindtree's all verticals on growth path; valuation at a discount to peers,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/moneycontrol-research/weekly-tactical-pick-mindtree-6575941.html,February 26^ 2021 09:24 AM IST
Top buy and sell ideas by Mitessh Thakkar^ Yogesh Mehta for short term,Mitessh Thakkar of mitesshthakkar.com suggests buying Aurobindo Pharma with a stop loss of Rs 876^ target at Rs 835 and Coal India with a stop loss of Rs 146^ target at Rs 165.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/top-buy-and-sell-ideas-by-mitessh-thakkar-yogesh-mehta-for-short-term-6575401.html,February 26^ 2021 09:09 AM IST
