Topic,Statement,Link
SSAB eyes Tata Steel's Dutch assets as European consolidation picks up,Swedish steelmaker SSAB <SSABa.ST> is in talks with Tata Steel <TISC.NS> about potentially buying the Indian group's Dutch steel mill in IJmuiden and related assets^ it said on Friday.  "SSAB has participated in several different discussions concerning consolidations in the European steel industry^" the company said.  "The discussions with Tata are ongoing but no decisions have been made.",www.in.finance.yahoo.com/news//news/ssab-eyes-tata-steel-assets-150637975.html

company :ICICIBANK.NS
ICICI Bank's (IBN) Q3 Earnings Rise Y/Y^ Provisions Jump,Higher net interest income and growth in loans support ICICI Bank's (IBN) fiscal Q3 earnings^ while provisions continue to rise.,www.in.finance.yahoo.com/news//news/icici-banks-ibn-q3-earnings-131701033.html
ICICI Bank hits record high on upbeat December quarter results,Shares of ICICI Bank rose as much as 5.2% to an all-time high on Monday^ after India's second-largest private lender reported strong December quarter results buoyed by improved loan growth.  On Saturday^ ICICI Bank reported https://www.bseindia.com/xml-data/corpfiling/AttachLive/c604cdfb-5c70-4245-926b-1c97e36a0203.pdf a robust 19% year-on-year increase in net profit for the three months ended Dec. 31^ although provisions also rose.  "With strong balance sheet and capital position^ the bank is geared to capitalise growth opportunity in the system.",www.in.finance.yahoo.com/news//news/icici-bank-hits-record-high-043915120.html
ICICI Bank's (IBN) Q2 Earnings Up Y/Y^ Provisions Increase,Higher net interest income and fall in costs support ICICI Bank's (IBN) fiscal Q2 earnings.,www.in.finance.yahoo.com/news//news/icici-banks-ibn-q2-earnings-114711868.html

company :NTPC.NS
NTPC to borrow $478 million from Japanese banks to fund clean energy,India's largest electricity generator NTPC Ltd said on Wednesday it would borrow 50 billion yen ($478 million) from Japanese banks to fund the installation of emission-cutting equipment and green energy projects.  "The loan proceeds will be utilized by NTPC Ltd^ the PSU under Ministry of Power^ for funding its capex for Flue Gas Desulphurization (FGD) & Renewable Energy projects^" government-run NTPC said in a statement.  Flue Gas Desulphurization (FGD) units cut emissions of sulphur dioxides - which are linked to lung diseases and acid rain - from coal-fired power plants.,www.in.finance.yahoo.com/news//news/ntpc-borrow-478-million-japanese-130354442.html
NTPC seeks bids for biomass pellets to fuel thermal power plants,India's top power utility NTPC Ltd has sought bids for procuring biomass pellets to fuel its thermal power plants^ the government statement said on Sunday^ in an effort to cut down air pollution from burning of crop residue.  The state-owned power producer aims to use 5 million tonnes of pellets^ made from crop waste^ to fuel 17 of its power plants in the current year^ the statement said.,www.in.finance.yahoo.com/news//news/ntpc-seeks-bids-biomass-pellets-113422561.html
NTPC keen to buy Reliance Group's Delhi power distribution units,India's largest electricity generator NTPC Ltd <NTPC.NS> said it was interested in buying a majority stake in Reliance Group's power distribution assets in Delhi.  "NTPC is keen to explore the opportunities for acquiring 51% stake in BRPL and BYPL^ which are on sale^" it said in a letter to the Delhi Electricity Regulatory Commission dated May 26.,www.in.finance.yahoo.com/news//news/ntpc-keen-buy-reliance-groups-055110880.html

company :MARUTI.NS
Maruti Suzuki India sees margins contract^ shares fall,Maruti Suzuki India Ltd posted a drop in quarterly margins on Thursday as rising costs took the shine off an uptick in demand^ sending shares of the country's top carmaker down 3.5%.  The COVID-19 pandemic has worsened problems for Indian carmakers^ which were already dealing with tepid demand and an inventory pile-up^ though there have been signs of a slow pick-up in car sales as more customers bought vehicles during the festive season.  Maruti^ which plans to raise prices on some of its models^  said cost of materials at the company rose 31.3% to 110.43 billion rupees ($1.51 billion) in the third quarter ended Dec. 31^ 2020.,www.in.finance.yahoo.com/news//news/maruti-suzuki-india-quarterly-profit-081745166.html
India's October car^ motorbike sales skid as dealers caution over stock,Retail car sales in India fell by 8.8% in October and motorbikes by 26.8% from a year ago^ with purchasing slow to recover from the effects of the ongoing COVID-19 pandemic^ data released by automobile dealers on Monday showed.  The sales numbers^ based on vehicles registered in the country^ were higher than September as more people visited car showrooms^ but the Federation of Automobile Dealers Association (FADA) warned that momentum is slow.  New cars fared better than older models^ entry-level motorcycles saw poor demand and discounts offered by automakers in October 2019 were higher - all of which affected sales this year^ FADA President Vinkesh Gulati said in a statement.,www.in.finance.yahoo.com/news//news/indias-october-car-motorbike-sales-114041252.html
Suzuki expects annual profit to shrink by a quarter as India sales slump,Suzuki Motor Corp on Thursday forecast operating profit to fall by a quarter to 160 billion yen ($1.5 billion) in the year to March as sales^ including in its key Indian market^ shrink amid the coronavirus pandemic.  Suzuki's Indian car sales in the first half of the year fell 36% to 432^000 vehicles^ and dipped in other markets^ including Japan^ Indonesia and Europe as people stay away from dealerships.  "We don't know what will happen with the coronavirus in India or what measures the government will implement^ so that makes the market difficult to predict^" Suzuki's president^ Toshihiro Suzuki said in a conference call.,www.in.finance.yahoo.com/news//news/suzuki-motor-forecasts-full-operating-063035542.html

company :RELIANCE.NS
Walmart's Flipkart expands grocery sales to more Indian cities,Walmart-owned Flipkart will sell groceries online in more Indian cities^ as it seeks to compete better with Amazon and Reliance in an e-commerce market that has grown rapidly during the COVID-19 pandemic.  Flipkart has already expanded online grocery sales to more than 50 Indian cities and intends to reach over 70 locations in the next six months^ the company said in a statement on Tuesday.  "Grocery continues to be one of the fastest-growing categories^" said Manish Kumar^ senior vice president at Flipkart^ adding that the company had seen increased demand for the service from smaller cities in 2020.,www.in.finance.yahoo.com/news//news/walmarts-flipkart-expands-grocery-sales-073024219.html
Reliance partners with Google^ Facebook for digital payment network bid - ET,India's conglomerate Reliance Industries has partnered with Facebook Inc^ Google and fintech player Infibeam to set up a national digital payment network^ Economic Times newspaper reported on Saturday^ citing unnamed sources.  Last year^ India's central bank invited companies to forge new umbrella entities (NUEs) to create a payments network that would rival the system operated by the National Payments Council of India (NPCI)^ as it seeks to reduce concentration risks in the space.,www.in.finance.yahoo.com/news//news/reliance-partners-google-facebook-digital-112251059.html
Indian shares surge in glitch-ridden session as banks gain,Indian shares closed sharply higher in a glitch-ridden^ extended session on Wednesday^ led by gains in financial stocks after private-sector lenders were allowed to carry out government transactions.  The NSE Nifty 50 index ended 1.86% higher at 14^982.00^ while the S&P BSE Sensex rose 2.07% to 50^781.69.  The top three boosts to the Nifty 50 were financial and banking stocks^ which surged in extended trading^ pushing the Nifty private bank index higher by 3.9%.,www.in.finance.yahoo.com/news//news/indian-shares-edge-higher-reliance-042814681.html

company :COALINDIA.NS
Real estate^ pharma firms among winners of India's coal mine auctions,Real estate^ infrastructure and pharmaceutical companies were among the winners of India's first coal mine auctions open to the private sector without restrictions on end-use^ the government said on Monday.  Coal production in India has largely been restricted to state-run Coal India Ltd <COAL.NS> and another smaller government-controlled company^ but Prime Minister Narendra Modi opened up the industry to the private sector this year.,www.in.finance.yahoo.com/news//news/real-estate-pharma-firms-among-014149274.html
Coal minister wants Coal India units to set prices independently,India's Coal Minister Pralhad Joshi said on Wednesday the units of Coal India Ltd should be allowed to independently set fuel prices in a bid to increase competition and reduce the price of coal in the country.  State-run Coal India^ the world's largest coal mining company by output^ has seven units and accounts for more than four fifths of domestic production.  It sets the price of various grades of coal in India after consultation with stakeholders.,www.in.finance.yahoo.com/news//news/coal-minister-wants-coal-india-143423272.html
Coal India sees fastest growth in output^ sales for six years in Sept,Coal India Ltd's output and sales grew by nearly a third during September from a year earlier^ the company said on Thursday^ as coal-fired power generation picked up and demand from smelters and other consumers increased.  State-run Coal India accounts for over 80% of the country's production and is the world's largest coal miner by output.  Its output rose 32% to 40.51 million tonnes in September^ the company said in a stock exchange filing.,www.in.finance.yahoo.com/news//news/coal-india-sees-fastest-growth-122142210.html

company :MM.NS

company :ITC.NS
Sensex^ Nifty close higher as IT shares gain,Indian stocks ended higher in volatile trading on Friday^ helped by information technology and energy shares^ although investors remained nervous about rising coronavirus cases and tensions with China.  The NSE Nifty 50 index ended up 0.91% at 10^383 and the benchmark S&P BSE Sensex gained 0.94% at 35^171.27.  The Nifty information technology index was the top gainer^ rising 4.1%.,www.in.finance.yahoo.com/news//news/sensex-nifty-gain-boost-financials-041714917.html
Sensex^ Nifty end lower as RBI loan relief hits banks,Indian shares slid on Friday^ as banks fell after the central bank decided to cut policy rates and extend a relief period for loan repayments in an effort to contain the economic fallout of the COVID-19 pandemic.  The Reserve Bank of India extended a moratorium on loan repayments by a further three months^ as many borrowers are out of jobs due to the weeks-long lockdown that has threatened to push Asia's third-largest economy into recession.  Steps including a loan restructuring scheme^ the possibility of creating a "bad bank" for stressed sectors and infusing more liquidity via bank recapitalization bonds could help support India's lenders^ economists at HSBC in Mumbai said in a report.,www.in.finance.yahoo.com/news//news/sensex-nifty-rise-banks-itc-041806348.html

company :TCS.NS
Deutsche Bank to sell IT unit to Tata as it trims staff,Germany's Deutsche Bank has agreed to sell its IT services division Postbank Systems to India's Tata Consultancy Services^ it said on Monday.  Postbank Systems has around 1^500 employees^ mainly in the German city of Bonn.  The sale is part of Deutsche's plan to shed 18^000 staff overall to cut costs and restore profitability.,www.in.finance.yahoo.com/news//news/deutsche-bank-sell-unit-tata-140245093.html
Sensex^ Nifty rise for sixth session as buyback plans boost TCS^ Wipro,Indian shares ended higher for a sixth session as buyback plans from Tata Consultancy Services and Wipro powered the main stock index to a level last seen in February.  IT stocks were among the top gainers on the blue-chip Nifty 50^ leading the Nifty IT index up as much as 5.5% to a record high.  Wipro Ltd was the top gainer on the Nifty with a 7.2% rise that also saw the stock touch a record high.,www.in.finance.yahoo.com/news//news/sensex-nifty-rise-tcs-wipro-040844376.html
TCS plans up to $2.2 billion buyback as legal costs hit profit,Tata Consultancy Services said on Wednesday it would buy back shares worth up to 160 billion rupees ($2.18 billion)^ and reported a fall in quarterly profit as it set aside 12.18 billion rupees to cover legal fees related to a U.S. lawsuit.  TCS said it would buy back up to 53.3 million shares at 3^000 rupees per share^ a 9.7% premium to its stock's closing price on Wednesday.  "The timing of the buyback has been partly triggered due to the ongoing feud between Tata and the Mistry group (Shapoorji Pallonji group)^ with the Mistry group looking to exit its Tata Sons holdings^" said Jyoti Roy^ an analyst at Angel Broking.,www.in.finance.yahoo.com/news//news/tcs-buy-back-2-2-131141841.html

company :KOTAKBANK.NS
Indian shares subdued as some banks fall after run-up,Indian shares were little changed on Thursday^ as investors sold off recent winners including ICICI Bank and Kotak Mahindra Bank while state-run lenders extended their meaty gains.  Domestic stock benchmarks have climbed 12% this month in a rally driven by strong corporate earnings^ a well-received federal budget and healthy foreign fund inflows^ prompting investors to take profits from some high-flying stocks.  Private-sector lenders ICICI^ Kotak Mahindra and HDFC were the biggest drags on the Nifty 50^ falling more than 1% each^ having added 15%-20% this month.,www.in.finance.yahoo.com/news//news/indian-shares-muted-banks-fall-042021405.html

company :BHARTIARTL.NS
Bharti Airtel partners with Qualcomm to drive 5G services in India,Bharti Airtel Ltd said on Tuesday it will work with U.S. chipmaker Qualcomm for 5G services in India^ as telecom firms in the world's second-largest wireless market gear up to usher in the latest generation of wireless networks.  Airtel^ placed second to Reliance Industries-owned Jio by subscribers^ said in a statement to stock exchanges that it will use Qualcomm's Radio Access Network platforms^ which runs services on the cloud^ to roll out 5G networks in the country.,www.in.finance.yahoo.com/news//news/bharti-airtel-ties-qualcomm-5g-064804544.html
Bharti Airtel to buy Warburg Pincus stake in DTH business for $430 million,Indian telecom operator Bharti Airtel Ltd said on Wednesday it will buy U.S. private equity firm Warburg Pincus' 20% stake in its direct-to-home television arm for 31.26 billion rupees ($429.31 million).  Bharti Airtel^ which is looking to consolidate the shareholding of its consumer facing businesses^ said it will issue about 36.5 million shares to a Warburg Pincus affiliate at 600 rupees per share^ and pay up to 10.38 billion rupees in cash.  Lion Meadow Investment^ a Warburg Pincus affiliate^ bought the stake in Bharti Telemedia in 2017.,www.in.finance.yahoo.com/news//news/bharti-airtel-buy-20-stake-133404713.html
Bharti Airtel posts first quarterly profit in nearly two years,Bharti Airtel swung to a quarterly profit on Wednesday and posted record revenue^ as the Indian telecom carrier added more subscribers and saw higher data usage spurred by the coronavirus-led work-from-home trend.  Separately on Wednesday^ Airtel said it would raise up to 75 billion rupees ($1.03 billion) by issuing debt securities^ but did not provide further details.  The telco added 4.4 million subscribers last November^ more than double of what market leader Reliance Jio raked in for the month^ regulatory data from last week showed.,www.in.finance.yahoo.com/news//news/bharti-airtel-swings-quarterly-profit-105736722.html

company :HEROMOTOCO.NS
Hero MotoCorp sets up separate unit to sell Harley motorcycles,India's Hero MotoCorp has set up a separate business unit to sell Harley-Davidson vehicles in India^ Hero said on Wednesday^ months after the U.S. company ended most of its operations in the world's largest motorcycle market.  Hero has added 11 Harley-Davidson dealers in India and begun wholesale dispatches of Harley products to dealers from Jan. 18^ the company said in a statement to Indian stock exchanges.,www.in.finance.yahoo.com/news//news/hero-motocorp-sets-separate-unit-120337880.html
Harley close to deal with India's Hero after stopping local manufacturing- sources,Harley-Davidson Inc <HOG.N> is in advanced talks with India's Hero MotoCorp <HROM.NS> for a distribution deal which will allow the U.S. company's motorcycles to be sold in India^ after it stops local manufacturing there^ three sources told Reuters.  The Milwaukee-based company said on Thursday it will stop sales and shut its manufacturing plant in India^ effectively abandoning the world's biggest motorcycle market after a decade of unsuccessful efforts to gain a foothold.  Harley^ however^ is in talks with Hero over a distribution arrangement that will allow the Indian company to import and sell Harley bikes as its sole distributor^ two sources with familiar with the talks said.,www.in.finance.yahoo.com/news//news/harley-close-deal-indias-hero-094301883.html
Sensex^ Nifty end higher as easing curbs outweigh COVID-19 surge,Indian shares ended higher on Wednesday^ led by gains in Reliance Industries and financials^ as optimism around reopening of the economy and buoyant global risk sentiment trumped concerns over a surge in domestic COVID-19 infections.  The NSE Nifty 50 index ended up 0.69% to 10^116^ while the benchmark S&P BSE Sensex gained 0.86% at 34^247.05.  Heavyweight Reliance Industries added 2.3% and was a top boost to the Nifty 50 index^ while IndusInd Bank Ltd surged 7.7%^ to end as the top gainer in the Nifty index.,www.in.finance.yahoo.com/news//news/nifty-sensex-gain-investors-bet-040748517.html

company :ULTRACEMCO.NS
Hindalco to supply 1.2 million tonnes of bauxite residue to UltraTech Cement,India's Hindalco Industries Ltd <HALC.NS> on Thursday signed an agreement with UltraTech Cement Ltd <ULTC.NS> to supply 1.2 million tonnes of bauxite residue every year to be used as a raw material for cement^ as part of its push for alternative methods of disposing of the toxic waste.  Hindalco^ India's top aluminium and copper producer^ said it would supply 2.5 million tonnes of bauxite residue^ also known as red mud^ to 40 cement companies this year^ to help cement makers to replace their existing raw materials such as laterite^ a mineral.  Of the 2.5 million tonnes^ 1.2 million tonnes would go to UltraTech's 14 cement plants spread across seven states.,www.in.finance.yahoo.com/news//news/hindalco-supply-1-2-million-094827111.html

company :GRASIM.NS
Grasim Industries Q2 PAT rises 3% to Rs 1^521 cr,Grasim Industries' consolidated net profit gained 3.30percent to Rs 1^521.40 crore on a marginal increase in revenue from operations to Rs 18^400.25 crore in Q2 September 2020 over Q2 September 2019.,www.in.finance.yahoo.com/news//news/grasim-industries-q2-pat-rises-114800230.html

company :WIPRO.NS
India's Wipro to buy UK-based consultancy Capco for $1.45 billion,Wipro Ltd said on Thursday it would buy British consultancy Capco for $1.45 billion in cash^ as the Indian software giant looks to boost its offerings for the financial services industry that generates the bulk of its revenue.  London-based Capco makes 96% of its revenue from Europe and North America^ from where Indian IT services companies have traditionally won the most lucrative contracts.  Wipro and its rivals including Infosys Ltd and Tata Consultancy Services Ltd have become major global players^ offering services spanning from back-office work for banks to social media content moderation as well as traditional technical support.,www.in.finance.yahoo.com/news//news/indias-wipro-buy-uk-based-114137982.html
Wipro to buy UK-based consultancy Capco for $1.45 billion,Wipro Ltd said on Thursday it would buy British consultancy Capco for $1.45 billion in cash^ as the Indian software giant looks to boost its offerings for the financial services industry that generates the bulk of its revenue.  London-based Capco makes 96% of its revenue from Europe and North America^ from where Indian IT services companies have traditionally won the most lucrative contracts.  Wipro and its rivals including Infosys Ltd and Tata Consultancy Services Ltd have become major global players^ offering services spanning from back-office work for banks to social media content moderation as well as traditional technical support.,www.in.finance.yahoo.com/news//news/wipro-buy-uk-based-consultancy-113859328.html
The Zacks Analyst Blog Highlights: MSCI^ Black Knight Financial Services^ SPS Commerce^ FactSet Research Systems and Wipro,The Zacks Analyst Blog Highlights: MSCI^ Black Knight Financial Services^ SPS Commerce^ FactSet Research Systems and Wipro,www.in.finance.yahoo.com/news//news/zacks-analyst-blog-highlights-msci-113511125.html

company :BAJAJ-AUTO.NS
Bajaj Auto focuses on exports as India battles pandemic,Bajaj Auto <BAJA.NS> is betting that an early recovery from the ravages of COVID-19 in motorcycle sales in its export markets will help it offset pandemic-related disruption at home^ its chief financial officer said.  "All our export markets were also affected but recovery has been better (there) than in India^" Soumen Ray told Reuters in an interview late on Wednesday.  Bajaj plans to open an assembly plant in Brazil within 18 months^ as well as a design office in Thailand to handle sales for the ASEAN region^ and another design office in Europe^ Ray said.,www.in.finance.yahoo.com/news//news/bajaj-auto-focuses-exports-india-175352450.html
Bajaj Auto unions demand factory halt after 250 workers catch coronavirus,Workers at Bajaj Auto^ India's biggest exporter of motorbikes^ are demanding the temporary closure of one of its plants after 250 employees there tested positive for coronavirus^ its unions said on Saturday^ as companies struggle to ramp up operations.  India went into complete lockdown in late March to curb the spread of the virus but it has recently eased restrictions despite the number of cases surging^ putting some companies in a difficult position as they try to revive production.  The Bajaj Auto factory affected is located in western Maharashtra^ the state with the highest number of cases of COVID-19^ the disease the virus causes.,www.in.finance.yahoo.com/news//news/bajaj-auto-unions-demand-factory-140722186.html

company :CIPLA.NS
Indian pharma firms go local seeking to end reliance on China,Indian drug companies are looking to local makers of so-called active pharmaceutical ingredients (API) or trying to make them in-house in a bid to end their reliance on China as ties between the two countries soured after a deadly border clash last June.  Though India is known as the pharmacy of the world for its massive production capacities of both generic drugs and vaccines^ China accounted for half of its API needs in 2019 from nearly nothing three decades ago^ industry data shows.  Executives at India's Cadila Healthcare^ Cipla^ Sun Pharmaceutical and â€ŽBiocon said on Tuesday they were aggressively working on reducing the dependence on the richer rival for raw materials.,www.in.finance.yahoo.com/news//news/indian-pharma-firms-local-seeking-114035449.html
Indian demand for COVID-19 drug remdesivir rising sharply - Cipla,Demand for COVID-19 antiviral drug remdesivir is rising sharply in India^ a top executive at drugmaker Cipla Ltd <CIPL.NS> said on Monday^ even as experts remain divided over its effectiveness.  Remdesivir was developed by U.S. drugmaker Gilead Sciences Inc <GILD.O>^ which cut its 2020 revenue forecast last month^ citing lower-than-expected demand and difficulty in predicting sales of the treatment.  Cipla is among several firms licensed to make and sell generic versions in developing nations.,www.in.finance.yahoo.com/news//news/indian-demand-covid-19-drug-085411506.html
Zydus Cadila launches India's cheapest remdesivir version at $37 per vial,Zydus Cadila on Thursday launched the cheapest generic version of Gilead Sciences' antiviral drug remdesivir in India to treat COVID-19 following reports of shortages at hospitals in the world's third-worst hit nation.  Zydus has priced it at 2^800 rupees ($37.44) per 100mg vial.  It will be sold under the brand name Remdac to government and private hospitals treating COVID-19 patients^ the company said in a regulatory filing https://reut.rs/3gTivT4.,www.in.finance.yahoo.com/news//news/zydus-cadila-launches-indias-cheapest-041620284.html

company :ONGC.NS
India ONGC sees peak gas output from east coast block in 2024,India^ the world's fourth biggest importer of liquefied natural gas^ wants to boost local gas output as Prime Minister Narendra has set a target to raise the share of the cleaner fuel in the country's energy mix to 15% by 2030 from the current 6%.  Most of the future gas production is expected from the Krishna Godavari basin^ where ONGC and Reliance Industries operate blocks.,www.in.finance.yahoo.com/news//news/india-ongc-sees-peak-gas-123121454.html
Indian oil firms need to bring in foreign players to unlock resources: Pradhan,India's oil minister Dharmendra Pradhan asked exploration companies to consider farming out their acreages to global players with advanced technology to expedite development and raise oil and gas output.  India^ the world's third biggest oil importer and consumer^ depends on foreign purchases for over 80% of its oil needs.  "The government will grant petroleum mining lease rights but the companies should consider a farm-out (of a stake) to get global technology players^" Pradhan said in Hindi.,www.in.finance.yahoo.com/news//news/indian-oil-firms-bring-foreign-094925691.html
ONGC unlikely to buy overseas oil^ gas assets at current prices,India's top explorer Oil and Natural Gas Corp is unlikely to buy overseas oil and gas assets at current prices of about $45 a barrel^ its finance chief said on Wednesday.  Its overseas investment arm ONGC Videsh (OVL) has already seen a decline in profit^ as some of its acquisitions^ such as Imperial Energy in Russia^ were made when global oil prices were above $100 a barrel.  OVL has a debt of 420 billion Indian rupees ($5.74 billion)^ with its long term borrowings backed by ONGC.,www.in.finance.yahoo.com/news//news/ongc-unlikely-buy-overseas-oil-105857464.html

company :HINDALCO.NS
Vedanta^ Hindalco among winners of country's coal mine auctions,India's Vedanta Ltd and Hindalco Industries Ltd were among the first private companies chosen to operate coal mines in the country without end-use restrictions^ the government said on Monday.  The world's second largest consumer of coal^ India allocated 38 coal mines for auction to the private sector^ offering financial incentives to attract investment and reduce imports.  The auctions are conducted in two stages^ the first of which is the submission of a technical bid^ evaluated by the coal ministry.,www.in.finance.yahoo.com/news//news/vedanta-hindalco-among-winners-countrys-142407963.html
Hindalco to supply 1.2 million tonnes of bauxite residue to UltraTech Cement,India's Hindalco Industries Ltd <HALC.NS> on Thursday signed an agreement with UltraTech Cement Ltd <ULTC.NS> to supply 1.2 million tonnes of bauxite residue every year to be used as a raw material for cement^ as part of its push for alternative methods of disposing of the toxic waste.  Hindalco^ India's top aluminium and copper producer^ said it would supply 2.5 million tonnes of bauxite residue^ also known as red mud^ to 40 cement companies this year^ to help cement makers to replace their existing raw materials such as laterite^ a mineral.  Of the 2.5 million tonnes^ 1.2 million tonnes would go to UltraTech's 14 cement plants spread across seven states.,www.in.finance.yahoo.com/news//news/hindalco-supply-1-2-million-094827111.html

company :TATASTEEL.NS
Sweden's SSAB abandons plan to buy Tata Steel's Dutch plant,Swedish steelmaker SSAB has ended talks over a potential acquisition of Tata Steel's Dutch steel mill^ it said on Friday^ adding a fresh twist to the ongoing consolidation of Europe's steel sector.  SSAB announced in November that it was in talks to buy IJmuiden^ raising funding concerns among some analysts and SSAB investors about the $2 billion to $3 billion deal.  "We carefully evaluated Tata Steel IJmuiden and have concluded that an acquisition would be difficult for technical reasons^" SSAB Chief Executive Martin Lindqvist said.,www.in.finance.yahoo.com/news//news/swedens-ssab-abandons-plan-buy-111225738.html
Tata Steel to continue separation of European activities - works council,Tata Steel's European works council on Friday said it expected the separation of Tata Steel's Dutch and British operations to continue^ despite Swedish steelmaker SSAB's decision to halt talks over the potential acquisition of Tata's Dutch steel mill.  "It is unclear how we will proceed^ but we expect the separation to continue^" works council chair Cinta Groos told Reuters.  Groos said she did not expect takeover talks with ThyssenKrupp to be revived^ after the European Commission blocked a merger between Tata's European activities and the German company in 2019.,www.in.finance.yahoo.com/news//news/tata-steel-continue-separation-european-094930555.html
SSAB eyes Tata Steel's Dutch assets as European consolidation picks up,Swedish steelmaker SSAB <SSABa.ST> is in talks with Tata Steel <TISC.NS> about potentially buying the Indian group's Dutch steel mill in IJmuiden and related assets^ it said on Friday.  "SSAB has participated in several different discussions concerning consolidations in the European steel industry^" the company said.  "The discussions with Tata are ongoing but no decisions have been made.",www.in.finance.yahoo.com/news//news/ssab-eyes-tata-steel-assets-150637975.html

